src_ip_bytes,proto_tcp,src_bytes,dst_ip_bytes,src_pkts,duration,dst_bytes,conn_state_REJ,dns_rejected_T,conn_state_S0,dst_pkts,conn_state_OTH,conn_state_RSTRH,proto_udp,service_-,conn_state_RSTO,dns_qtype_12,conn_state_S1,dns_RD_F,conn_state_SF,proto_icmp,http_version_1.1,http_status_code_200,http_version_-,service_ftp,http_status_code_0,dns_rejected_F,dns_qclass_0,dns_rcode_3,dns_qtype_28,service_dns,dns_RA_F,conn_state_RSTR,dns_rcode_2,service_ssl,service_gssapi,service_smb
dns_qclass_1,service_http,service_dce_rpc

,importance,stddev,p_value,n,p99_high,p99_low
http_user_agent_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763,0.000000e+00,0.000000e+00,0.500000,3,0.000000e+00,0.000000e+00
http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/53.0.2785.143 Safari/537.36,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1),0.0,0.0,0.5,3,0.0,0.0
http_status_code_304,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Microsoft-Windows/10.0 UPnP/1.0 Microsoft-DLNA DLNADOC/1.50,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Microsoft-Windows/10.0 UPnP/1.0,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_User-Agent: Microsoft-DLNA DLNADOC/1.50,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Microsoft-WNS/10.0,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Microsoft-Delivery-Optimization/10.0,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Microsoft-CryptoAPI/10.0,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Microsoft NCSI,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Microsoft BITS/7.8,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_MICROSOFT_DEVICE_METADATA_RETRIEVAL_CLIENT,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_DonutP; Windows98SE,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Debian APT-HTTP/1.3 (1.7.4),0.0,0.0,0.5,3,0.0,0.0
http_user_agent_DataCha0s/2.0,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_DAFUPnP,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Comos/0.9_(robot@xyleme.com),0.0,0.0,0.5,3,0.0,0.0
http_user_agent_-,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_16,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_hacking,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_Windows-Update-Agent/10.0.10011.16384 Client-Protocol/1.91,0.0,0.0,0.5,3,0.0,0.0
http_status_code_206,0.0,0.0,0.5,3,0.0,0.0
weird_addl_48,0.0,0.0,0.5,3,0.0,0.0
weird_addl_46,0.0,0.0,0.5,3,0.0,0.0
weird_addl_43,0.0,0.0,0.5,3,0.0,0.0
weird_addl_-,0.0,0.0,0.5,3,0.0,0.0
weird_name_possible_split_routing,0.0,0.0,0.5,3,0.0,0.0
weird_name_inappropriate_FIN,0.0,0.0,0.5,3,0.0,0.0
weird_name_dnp3_corrupt_header_checksum,0.0,0.0,0.5,3,0.0,0.0
weird_name_data_before_established,0.0,0.0,0.5,3,0.0,0.0
weird_name_connection_originator_SYN_ack,0.0,0.0,0.5,3,0.0,0.0
weird_name_bad_UDP_checksum,0.0,0.0,0.5,3,0.0,0.0
weird_name_bad_TCP_checksum,0.0,0.0,0.5,3,0.0,0.0
weird_name_active_connection_reuse,0.0,0.0,0.5,3,0.0,0.0
weird_name_above_hole_data_without_any_acks,0.0,0.0,0.5,3,0.0,0.0
weird_name_TCP_ack_underflow_or_misorder,0.0,0.0,0.5,3,0.0,0.0
weird_name_DNS_RR_unknown_type,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_text/plain,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_text/json,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_text/html,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_image/png,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_image/jpeg,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_application/xml,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_application/x-debian-package,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_application/vnd.ms-cab-compressed,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_application/ocsp-response,0.0,0.0,0.5,3,0.0,0.0
http_resp_mime_types_-,0.0,0.0,0.5,3,0.0,0.0
http_orig_mime_types_application/xml,0.0,0.0,0.5,3,0.0,0.0
http_orig_mime_types_application/soap+xml,0.0,0.0,0.5,3,0.0,0.0
http_orig_mime_types_-,0.0,0.0,0.5,3,0.0,0.0
http_user_agent_sqlmap/1.2#stable (http://sqlmap.org),0.0,0.0,0.5,3,0.0,0.0
http_status_code_302,0.0,0.0,0.5,3,0.0,0.0
ssl_issuer_-,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_6,0.0,0.0,0.5,3,0.0,0.0
ssl_version_TLSv12,0.0,0.0,0.5,3,0.0,0.0
ssl_established_F,0.0,0.0,0.5,3,0.0,0.0
ssl_resumed_T,0.0,0.0,0.5,3,0.0,0.0
ssl_resumed_F,0.0,0.0,0.5,3,0.0,0.0
http_status_code_101,0.0,0.0,0.5,3,0.0,0.0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,0.0,0.0,0.5,3,0.0,0.0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,0.0,0.0,0.5,3,0.0,0.0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0.0,0.0,0.5,3,0.0,0.0
ssl_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,0.0,0.0,0.5,3,0.0,0.0
ssl_cipher_TLS_AES_128_GCM_SHA256,0.0,0.0,0.5,3,0.0,0.0
ssl_cipher_-,0.0,0.0,0.5,3,0.0,0.0
ssl_version_TLSv13,0.0,0.0,0.5,3,0.0,0.0
ssl_version_TLSv10,0.0,0.0,0.5,3,0.0,0.0
ssl_subject_-,0.0,0.0,0.5,3,0.0,0.0
ssl_version_-,0.0,0.0,0.5,3,0.0,0.0
conn_state_S2,0.0,0.0,0.5,3,0.0,0.0
dns_qclass_32769,0.0,0.0,0.5,3,0.0,0.0
dns_rcode_5,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_2,0.0,0.0,0.5,3,0.0,0.0
dns_rcode_1,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_255,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_48,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_43,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_33,0.0,0.0,0.5,3,0.0,0.0
dns_qtype_32,0.0,0.0,0.5,3,0.0,0.0
ssl_established_T,0.0,0.0,0.5,3,0.0,0.0
conn_state_RSTOS0,0.0,0.0,0.5,3,0.0,0.0
ssl_subject_CN=*.events.data.microsoft.com;OU=Microsoft;O=Microsoft Corporation;L=Redmond;ST=WA;C=US,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_3,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_9,0.0,0.0,0.5,3,0.0,0.0
http_method_HEAD,0.0,0.0,0.5,3,0.0,0.0
http_method_POST,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_8,0.0,0.0,0.5,3,0.0,0.0
service_dhcp,0.0,0.0,0.5,3,0.0,0.0
ssl_subject_CN=*.wns.windows.com,0.0,0.0,0.5,3,0.0,0.0
http_response_body_len,0.0,0.0,0.5,3,0.0,0.0
http_request_body_len,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_7,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_6,0.0,0.0,0.5,3,0.0,0.0
http_method_-,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_4,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_2,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_1,0.0,0.0,0.5,3,0.0,0.0
http_trans_depth_-,0.0,0.0,0.5,3,0.0,0.0
ssl_issuer_CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE,0.0,0.0,0.5,3,0.0,0.0
ssl_issuer_CN=Microsoft Update Secure Server CA 2.1;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0.000000,0.000000,0.500000,3,0.000000,0.000000
ssl_issuer_CN=Microsoft Secure Server CA 2011;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0.000000,0.000000,0.500000,3,0.000000,0.000000
ssl_issuer_CN=Microsoft IT TLS CA 5;OU=Microsoft IT;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0.000000,0.000000,0.500000,3,0.000000,0.000000
service_smb;gssapi,0.000000,0.000000,0.500000,3,0.000000,0.000000
ssl_subject_CN=sls.update.microsoft.com;OU=DSP;O=Microsoft;L=Redmond;ST=WA;C=US,0.000000,0.000000,0.500000,3,0.000000,0.000000
ssl_subject_CN=settings-win.data.microsoft.com;OU=WSE;O=Microsoft;L=Redmond;ST=WA;C=US,0.000000,0.000000,0.500000,3,0.000000,0.000000
ssl_subject_CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE,0.000000,0.000000,0.500000,3,0.000000,0.000000
http_method_GET,0.000000,0.000000,0.500000,3,0.000000,0.000000
dns_qtype_0,-0.000002,0.000031,0.541147,3,0.000177,-0.000181
conn_state_SHR,-0.000003,0.000016,0.608378,3,0.000090,-0.000096
dns_rcode_0,-0.000004,0.000008,0.737546,3,0.000043,-0.000051
missed_bytes,-0.000006,0.000017,0.703658,3,0.000093,-0.000105
dns_AA_T,-0.000007,0.000018,0.706260,3,0.000095,-0.000108
dns_AA_-,-0.000010,0.000004,0.972078,3,0.000015,-0.000035
conn_state_SH,-0.000012,0.000137,0.552804,3,0.000771,-0.000795
conn_state_S3,-0.000026,0.000088,0.671171,3,0.000478,-0.000531
dns_RD_T,-0.000041,0.000112,0.705264,3,0.000601,-0.000683
dns_AA_F,-0.000042,0.000064,0.815161,3,0.000322,-0.000407
dns_RA_T,-0.000066,0.000150,0.736224,3,0.000794,-0.000925
dns_qtype_1,-0.000085,0.000161,0.772082,3,0.000839,-0.001010
